Duration_s,Sample,Final_X,Final_Y,Final_Z
7.5,11,0.15001621625543718,0.15546771519195396,-0.0008649026203027266
7.5,12,0.14997122123307544,0.00011899239740525947,-0.0008650143170801025
7.5,13,0.15003613274870384,7.947747293162722e-05,-0.0008642852031129702
7.5,14,0.1500144206492732,7.59184593546394e-05,-0.0008650155312333145
7.5,15,0.15002644498228995,8.907423782628855e-05,-0.0008651332612396694
7.5,16,0.14993096836345887,8.543070200320547e-05,-0.0008650179005664956
7.5,17,0.14991237681993103,9.09484241225501e-05,-0.0008650213229122114
7.5,18,0.15009266246893238,9.161036189299196e-05,-0.0008650176162001144
7.5,19,0.1498587534246046,8.697300783685619e-05,-0.0008650178543129876
7.5,20,0.14993271393662516,8.180977088870927e-05,-0.000865021872822537
7.5,21,0.15002698738664338,8.002324455445701e-05,-0.0008641732349615149
7.5,22,0.150023307291897,9.146061459620148e-05,-0.0008639971369416716
7.5,23,0.14992288300271014,8.809814376571503e-05,-0.0008650155084424863
7.5,24,0.14995091782538772,8.932352442834767e-05,-0.0008650175476318106
7.5,25,0.14994843026258198,0.00010727697720976866,-0.0008650182247840477
7.5,26,0.1499715383358633,9.436879451278544e-05,-0.0008650183416841831
7.5,27,0.15058134575105428,8.084026661701044e-05,-0.0008650176187163204
7.5,28,0.15089760354498397,0.0001908385760177055,-0.0008649941127986359
7.5,29,0.1505106235243305,8.426565202779155e-05,-0.0008650155270497201
7.5,30,0.14999084996151044,8.586782131726504e-05,-0.0008650178654104369
7.5,31,0.150966328141751,1.773782050968251e-05,-0.0008650211161798822
7.5,32,0.1509735710807669,0.00031219655965059024,-0.0008650217400053492
7.5,33,0.14993335035619265,8.635413250210714e-05,-0.0008650183183938308
7.5,34,0.15947822579211832,0.001907113928336908,-0.0008651757855013507
7.5,35,0.14997019554540603,8.364024388513082e-05,-0.0008650155273402585
7.5,36,0.14997216190022236,8.089314294242047e-05,-0.0008650155514975701
7.5,37,0.1499111193247338,8.30804765830496e-05,-0.0008650154863303963
7.5,38,0.14980080410705324,-5.553130965577575e-05,-0.0008650171500445905
7.5,39,0.1505252876397559,0.0003268317778335588,-0.0008650228638248311
7.5,40,0.15003417193391916,8.364348391115137e-05,-0.0008644512704481418
7.5,41,0.1500276562691883,8.271967520022534e-05,-0.0008650218428383448
7.5,42,0.15016396561230233,9.795715403128101e-05,-0.000865021272661276
7.5,43,0.15005796756729475,8.92468069253844e-05,-0.0008650153347972249
7.5,44,0.1499519615482973,4.918034252000277e-05,-0.0008650182849008238
7.5,45,0.14999342198173277,0.00010051261013363001,-0.0008650176493768223
7.5,46,0.14991158701941826,8.337742877418727e-05,-0.0008650154872095715
7.5,47,0.14989027818085868,8.542341233474814e-05,-0.0008650154655855842
7.5,48,0.14995213032563795,9.077209634552183e-05,-0.0008650176072698933
7.5,49,0.15012892249738682,9.364457644114361e-05,-0.0008650183083389433
7.5,50,0.15017411597363092,7.52435004010035e-05,-0.0008650183243810901
